uf,ano,valor,regiao
Alagoas,2009,75.31,Nordeste
Sergipe,2009,76.07,Nordeste
Bahia,2009,76.77,Nordeste
Minas Gerais,2009,78.01,Sudeste
Espírito Santo,2009,75.93,Sudeste
Rio de Janeiro,2009,71.36,Sudeste
São Paulo,2009,72.49,Sudeste
Paraná,2009,76.66,Sul
Santa Catarina,2009,74.86,Sul
Rio Grande do Sul,2009,69.2,Sul
Mato Grosso do Sul,2009,78.53,Centro-Oeste
Mato Grosso,2009,79.38,Centro-Oeste
Goiás,2009,80.41,Centro-Oeste
Distrito Federal,2009,90.75,Centro-Oeste
Rondônia,2010,79.26,Norte
Acre,2010,76.32,Norte
Amazonas,2010,73.3,Norte
Roraima,2010,75.19,Norte
Pará,2010,81.55,Norte
Amapá,2010,75.31,Norte
Tocantins,2010,75.12,Norte
Maranhão,2010,87.04,Nordeste
Piauí,2010,75.44,Nordeste
Ceará,2010,74.4,Nordeste
Rio Grande do Norte,2010,71.04,Nordeste
Paraíba,2010,77.15,Nordeste
Pernambuco,2010,74.95,Nordeste
Alagoas,2010,74.08,Nordeste
Sergipe,2010,76.12,Nordeste
Bahia,2010,75.41,Nordeste
Minas Gerais,2010,80.85,Sudeste
Espírito Santo,2010,74.74,Sudeste
Rio de Janeiro,2010,67.48,Sudeste
São Paulo,2010,70.36,Sudeste
Paraná,2010,75.22,Sul
Santa Catarina,2010,74.18,Sul
Rio Grande do Sul,2010,67.22,Sul
Mato Grosso do Sul,2010,75.77,Centro-Oeste
Mato Grosso,2010,73.54,Centro-Oeste
Goiás,2010,76.25,Centro-Oeste
Distrito Federal,2010,80.07,Centro-Oeste
Rondônia,2011,92.75,Norte
Acre,2011,84.74,Norte
Amazonas,2011,80.09,Norte
Roraima,2011,84.42,Norte
Pará,2011,84.11,Norte
Amapá,2011,77.88,Norte
Tocantins,2011,87.78,Norte
Maranhão,2011,87.15,Nordeste
Piauí,2011,86.04,Nordeste
Ceará,2011,83.44,Nordeste
Rio Grande do Norte,2011,81.3,Nordeste
Paraíba,2011,82.82,Nordeste
Pernambuco,2011,88.72,Nordeste
Alagoas,2011,73.81,Nordeste
Sergipe,2011,83.94,Nordeste
Bahia,2011,84.73,Nordeste
Minas Gerais,2011,87.4,Sudeste
Espírito Santo,2011,88.35,Sudeste
Rio de Janeiro,2011,83.91,Sudeste
São Paulo,2011,84.96,Sudeste
Paraná,2011,89.97,Sul
Santa Catarina,2011,88.07,Sul
Rio Grande do Sul,2011,81.99,Sul
Mato Grosso do Sul,2011,89.37,Centro-Oeste
Mato Grosso,2011,87.4,Centro-Oeste
Goiás,2011,96.24,Centro-Oeste
Distrito Federal,2011,67.7,Centro-Oeste
Rondônia,2012,85.82,Norte
Acre,2012,74.35,Norte
Amazonas,2012,79.18,Norte
Roraima,2012,73.13,Norte
Pará,2012,77.87,Norte
Amapá,2012,73.77,Norte
Tocantins,2012,76.34,Norte
Maranhão,2012,77.67,Nordeste
Piauí,2012,77.57,Nordeste
Ceará,2012,74.76,Nordeste
Rio Grande do Norte,2012,74.96,Nordeste
Paraíba,2012,70.88,Nordeste
Pernambuco,2012,78.44,Nordeste
Alagoas,2012,70.45,Nordeste
Sergipe,2012,74.33,Nordeste
Bahia,2012,77.33,Nordeste
Minas Gerais,2012,82.73,Sudeste
Espírito Santo,2012,79.71,Sudeste
Rio de Janeiro,2012,73.71,Sudeste
São Paulo,2012,77.28,Sudeste
Paraná,2012,79.48,Sul
Santa Catarina,2012,78.79,Sul
Rio Grande do Sul,2012,72.95,Sul
Mato Grosso do Sul,2012,83.46,Centro-Oeste
Mato Grosso,2012,81.37,Centro-Oeste
Goiás,2012,82.52,Centro-Oeste
Distrito Federal,2012,64.84,Centro-Oeste
Rondônia,2013,76.72,Norte
Acre,2013,58.87,Norte
Amazonas,2013,67.06,Norte
Roraima,2013,60.7,Norte
Pará,2013,67.91,Norte
Amapá,2013,67.66,Norte
Tocantins,2013,72.78,Norte
Maranhão,2013,73.54,Nordeste
Piauí,2013,71.99,Nordeste
Ceará,2013,73.09,Nordeste
Rio Grande do Norte,2013,66.86,Nordeste
Paraíba,2013,71.43,Nordeste
Pernambuco,2013,71.8,Nordeste
Alagoas,2013,67.3,Nordeste
Sergipe,2013,74.76,Nordeste
Bahia,2013,72.29,Nordeste
Minas Gerais,2013,80.04,Sudeste
Espírito Santo,2013,72.3,Sudeste
Rio de Janeiro,2013,68.11,Sudeste
São Paulo,2013,73.37,Sudeste
Paraná,2013,77.59,Sul
Santa Catarina,2013,72.94,Sul
Rio Grande do Sul,2013,73.47,Sul
Mato Grosso do Sul,2013,81.81,Centro-Oeste
Mato Grosso,2013,75.04,Centro-Oeste
Goiás,2013,79.36,Centro-Oeste
Distrito Federal,2013,85.83,Centro-Oeste
Rondônia,2014,98.18,Norte
Acre,2014,59.29,Norte
Amazonas,2014,77.14,Norte
Roraima,2014,82.3,Norte
Pará,2014,71.71,Norte
Amapá,2014,76.11,Norte
Tocantins,2014,85.09,Norte
Maranhão,2014,83.27,Nordeste
Piauí,2014,76.06,Nordeste
Ceará,2014,96.57,Nordeste
Rio Grande do Norte,2014,82.44,Nordeste
Paraíba,2014,83.53,Nordeste
Pernambuco,2014,86.44,Nordeste
Alagoas,2014,84.08,Nordeste
Sergipe,2014,86.11,Nordeste
Bahia,2014,83.78,Nordeste
Minas Gerais,2014,90.21,Sudeste
Espírito Santo,2014,90.98,Sudeste
Rio de Janeiro,2014,84.08,Sudeste
São Paulo,2014,88.2,Sudeste
Paraná,2014,86.95,Sul
Santa Catarina,2014,91.81,Sul
Rio Grande do Sul,2014,84.15,Sul
Mato Grosso do Sul,2014,110.11,Centro-Oeste
Mato Grosso,2014,92.61,Centro-Oeste
Goiás,2014,86.63,Centro-Oeste
Distrito Federal,2014,89.33,Centro-Oeste
Rondônia,2015,111.27,Norte
Acre,2015,75.54,Norte
Amazonas,2015,94.95,Norte
Roraima,2015,105.27,Norte
Pará,2015,67.51,Norte
Amapá,2015,88.75,Norte
Tocantins,2015,92.37,Norte
Maranhão,2015,94.4,Nordeste
Piauí,2015,80.68,Nordeste
Ceará,2015,107.71,Nordeste
Rio Grande do Norte,2015,89.17,Nordeste
Paraíba,2015,86.34,Nordeste
Pernambuco,2015,101.09,Nordeste
Alagoas,2015,92.74,Nordeste
Sergipe,2015,91.0,Nordeste
Bahia,2015,93.06,Nordeste
Minas Gerais,2015,100.33,Sudeste
Espírito Santo,2015,98.39,Sudeste
Rio de Janeiro,2015,96.14,Sudeste
São Paulo,2015,98.63,Sudeste
Paraná,2015,96.41,Sul
Santa Catarina,2015,100.69,Sul
Rio Grande do Sul,2015,87.69,Sul
Mato Grosso do Sul,2015,113.07,Centro-Oeste
Mato Grosso,2015,100.32,Centro-Oeste
Goiás,2015,93.55,Centro-Oeste
Distrito Federal,2015,71.55,Centro-Oeste
Rondônia,2016,63.77,Norte
Acre,2016,46.91,Norte
Amazonas,2016,48.27,Norte
Roraima,2016,57.41,Norte
Pará,2016,41.43,Norte
Amapá,2016,56.62,Norte
Tocantins,2016,60.94,Norte
Maranhão,2016,43.38,Nordeste
Piauí,2016,46.94,Nordeste
Ceará,2016,56.44,Nordeste
Rio Grande do Norte,2016,42.23,Nordeste
Paraíba,2016,50.1,Nordeste
Pernambuco,2016,51.43,Nordeste
Alagoas,2016,44.88,Nordeste
Sergipe,2016,47.05,Nordeste
Bahia,2016,44.35,Nordeste
Minas Gerais,2016,57.58,Sudeste
Espírito Santo,2016,51.19,Sudeste
Rio de Janeiro,2016,47.98,Sudeste
São Paulo,2016,45.94,Sudeste
Paraná,2016,55.32,Sul
Santa Catarina,2016,58.88,Sul
Rio Grande do Sul,2016,53.86,Sul
